,Username,Konten,Lokasi
33,TrimisTrimis1,Respons Mantap Pak Jenderal Pol.Drs.Listyo Sigit Prabowo.Lanjutkan Perjuangan masih Panjang.,"Jatinegara, Indonesia"
34,QuotedReplies,"@23_prabowo
https://t.co/mVAqCNieUr","Lagos, Nigeria"
35,QuotedReplies,"@23_prabowo
https://t.co/mVAqCNieUr","Lagos, Nigeria"
36,demokrasicoid,"Viral, Pidato Lawas Prabowo: Rakyat Tak Boleh Bela Antek Asing https://t.co/y8UUKDhUeg",Indonesia
37,rama20hamna,@__SudutPandang @dickysetyawanzz @arifin34533 @ridwankamil Mungkin saja.tidak ada yang tidak mungkin kalau pak @prabowo ingin pak @ridwankamil kembali,"Tanggamus, Lampung"
38,23_prabowo,"Yang suka quote tweet ghaib, mending keluar bang",Jakarta Capital Region
39,KPTErestabessmg,"*Dijenguk Kapolri, Begini Kesan Sinta Bocah Penderita Tumor Tentang Jenderal Listyo Sigit Prabowo*

SEMARANG - Sinta Aulia Maulidiyah (10), bocah penderita tumor kaki yang saat ini menjalani perawatan intensif di RS Polri Kramat Jati Jakarta Timur, https://t.co/qGooHcNZqC",
40,shuaranghaoo,@noppcy_ @starfess sandi prabowo sandi,she/her
41,holopiskuntulbr,"Bye24👋
Tp kalao lawannya prabowo, ogah juga milihnya.",di setiap neuron otak kamu
42,prabowo_rio,"Sluruh badan emang sakit tapi hati yg paling sakit...yuhuuuu..

#COVIDIOTS https://t.co/YmNPx2WSEL","Kota Pangkal Pinang, Bangka"
43,terkinidotid,"Viral, Pidato Lawas Prabowo: Rakyat Tak Boleh Bela Antek Asing: Sebuah video lawas yang memperlihatkan Ketua Umum Partai Gerindra Prabowo Subianto tengah pidato dan meminta rakyat Indonesia agar tidak membela antek asing,… https://t.co/zy1jCodepw #News #pidatoprabowo #prabowo","Makassar, Indonesia"
44,AniBunny14,"@dyahNeZza Waktu datang ke kampanye prabowo di lapangan Banteng

Sumpah gw nyesel 😑","DKI Jakarta, Indonesia"
45,aryopramudito2,@KincaidZerga @asiasuuu @E_Edw_R @erstevn @Pimperoo @prabowo,Indonesia
46,PrasieOet,@DayatPondok @vie4nne Betul satu angkatan dgn Prabowo dan Sby.,
47,PDI_Perjuangan,"MPP digagas serta dirancang sepenuhnya oleh Mas Prananda Prabowo, mengacu pada karakter PDI Perjuangan sebagai Partai ideologis dengan ciri khas utama Partai pelopor yang mengorganisasi rakyat.",Indonesia
48,nyoemhokgie,Pak Prabowo?,
49,fmaulana179,"@kbnpapua_ @prabowo @Kemhan_RI Negara lagi pandemi corona, ini malah cari orderan!!! Eh lupa  pemilu bentar lagi ya","Jakarta Selatan, DKI Jakarta"
50,23_prabowo,"@itbfess gas, lagi menglaprak",Jakarta Capital Region
51,setiadjit,@arifin34533 Duet Prabowo - Airlangga agaknya bakal maju;  Sesama binaan Golkar;,Jababeka Bekasi 17530  ID
52,__SudutPandang,"@rama20hamna @arifin34533 @ridwankamil @prabowo Oh, gitu ya?🤔

Apa serunya di twitter menurut Anda?🤔",DKI Jakarta 
53,PolsekMglUtara,"Tokoh Agama di Jatim Ikut Vaksinasi, Kapolri: Jadi Penyemangat Kita Semua
Jawa Timur - Kapolri Jenderal Listyo Sigit Prabowo memantau pelaksanaan akselerasi vaksinasi Covid-19 di seluruh Provinsi Indonesia, dengan menghadiri secara langsung di Kabupaten Pamekasan, Jawa Timur https://t.co/II91ltqrQt",
54,HumasPolsekWat1,"Kapolri, Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/tqDXLLBCPp., memenuhi janjinya untuk mengunjungi Sinta Aulia, seorang anak perempuan penderita tumor kaki di RS Bhayangkara TK. I R. Said Sukanto, Kramat Jati, Jakarta Timur, Minggu (20/2). https://t.co/Vmf8wUv1xY",
55,DaltungNiHoda,"@IshM73 @_SEKNAS_RI @SofyanRuray @__NanaRosa @MUIPusat Bedanya? Mengadrunkan TIDAK LBH dr pd memberi etiket kpd manusia pendukung Prabowo yg tadix disebut kamfret karena pikiran mrk yg ke-walik². 

Sementara itu, mengafirkan berarti menyamakan Ahli Kitab (Yahudi dan Nasrani) dgn KAFIR. Jls ini kafir  atas firman Allah: &gt;&gt;&gt; (2/2)",
56,GregoriusGerar7,@thearmors @yanbudyo @endrowphin @Burpss88 @NATOSHISAKA @MetaRepublikNFT @metaverseidiot @Reilly_Prabowo,
57,__SudutPandang,@rama20hamna @arifin34533 @ridwankamil @prabowo Bisa jadi🤗,DKI Jakarta 
58,AaAbengBeng2,"@keuangannews_id @AlvaFila Aaahh..bapak salah niih..
Buktinya menhan @prabowo, dan panglima TNI ga bilang begitu..
Hayooooo.. siapa yg punya kepentingan atau gobl*k???",
59,rama20hamna,@__SudutPandang @arifin34533 @ridwankamil Kayanya saya curiga pak @prabowo akan usung pak @ridwankamil deh.soalnya punya kedekatan tersendiri antara keduanya,"Tanggamus, Lampung"
60,redaksidetail,"Hadi Prabowo sebagai koordinator aksi mengatakan bahwa, kedatangannya bersama kawan-kawan adalah ingin menanyakan laporannya terkait dugaan tindak pidana korupsi bantuan stimulan perumahan swadaya di lingkup Dinas Perkim Kabupaten Batanghari TA 2019. https://t.co/OYmTf5SzCE",
61,__SudutPandang,@rama20hamna @arifin34533 @ridwankamil Kebangetan kalau Prabowo masih maju lagi😭,DKI Jakarta 
62,rama20hamna,@__SudutPandang @arifin34533 Syaa curiga @ridwankamil di gerindra bareng prabowo lagi,"Tanggamus, Lampung"
63,__SudutPandang,"@arifin34533 Anies diusung partai koalisi Nasdem, dll

Ridwan Kamil diusung partai koalisi Gerindra, dll

Prabowo Subianto tidak akan maju lagi😅",DKI Jakarta 
64,Mohamad41967776,"Duet Terpanas Capres 2024
1. AA : Anies-AHY
2. GG : Ganjar-Giring
3. PP : Prabowo-Puan

Pilihan kamu siapa ..☕","DKI Jakarta, Indonesia"
65,FaktualN,"Dijenguk Kapolri, Begini Kesan Sinta Bocah Penderita Tumor Tentang Jenderal Listyo Sigit Prabowo https://t.co/ftixFnCdf1",Kendar
66,liputan4com,"*Dijenguk Kapolri, Begini Kesan Sinta Bocah Penderita Tumor Tentang Jenderal Listyo Sigit Prabowo* https://t.co/stKHBf2Nur",Makassar
67,23_prabowo,"lemes cok, mau nangis",Jakarta Capital Region
