,Judul,Isi KOnten
39,Taman Sunan Jogo Kali Milik FX Rudy Ditutup Usai Banjir Luapan Bengawan Solo,Taman Sunan Jogo Kali milik mantan Wali Kota Solo FX Hadi Rudyatmo tak luput terkena imbas meluapnya Bengawan solo. Begini kondisinya terkini.
40,Warga Jebres Ungkap Detik-detik Meluapnya Bengawan Solo,Sebagian wilayah Kota Solo tergenang banjir luapan Bengawan Solo. Berikut kesaksian warga yang menjadi korban banjir luapan Bengawan Solo.
41,"Waduk Tunggu Pampang Makassar Meluap, Motor Nekat Terobos Banjir Mogok","Waduk Tunggu Pampang, Kota Makassar, Sulawesi Selatan (Sulsel) meluap hingga air meluber ke jalan. Sejumlah sepeda motor mogok lantaran nekat menerobos banjir."
42,"Contoh Soal PAS IPS Kelas 8 Semester 1 Plus Jawaban-Pembahasan, Pelajari Yuk!",Berikut kumpulan contoh soal PAS IPS kelas 8 semester 1 beserta jawaban dan pembahasan. Yuk berlatih!
43,"Viral Bikin Haru, Kisah Anak Beli Mobil 'Ambulance' untuk Ayahnya yang Sakit",Viral bikin haru kisah seorang anak yang membelikan mobil 'ambulance' untuk bapaknya yang sedang sakit kanker. Berikut cerita lengkapnya.
44,Penampakan Banjir Rendam 15 Kelurahan di Solo,"Hujan deras yang mengguyur kota Solo menyebabkan sejumlah kali meluap. Akibatnya, 15 kelurahan terendam banjir dan ribuan warga harus mengungsi."
45,7 SD di Solo Jadi Tempat Pengungsian Korban Banjir,Sejumlah Sekolah Dasar (SD) di Kota Solo digunakan untuk tempat mengungsi korban Banjir. Sedikitnya ada tujuh SD yang digunakan untuk mengungsi warga.
46,195 Hektare Tanaman Padi di Ngawi Gagal Penan Akibat Terendam Banjir,"Sungai Madiun-Bengawan Solo yang melintasi Kabupaten Ngawi meluap membanjiri 18 desa di 7 kecamatan. Dampaknya,sawah seluas sekitar 195 hektare gagal panen."
47,"Bangunan SMP Negeri di Kupang Mirip Gubuk, Guru-Siswa Sering Kehujanan",Bangunan SMP Negeri di Kupang mirip gubuk. Para guru dan siswa sering kehujanan dan kebanjiran.
48,Taman Sunan Jogo Kali Milik FX Rudy Ditutup Usai Banjir Luapan Bengawan Solo,Taman Sunan Jogo Kali milik mantan Wali Kota Solo FX Hadi Rudyatmo tak luput terkena imbas meluapnya Bengawan solo. Begini kondisinya terkini.
49,Warga Jebres Ungkap Detik-detik Meluapnya Bengawan Solo,Sebagian wilayah Kota Solo tergenang banjir luapan Bengawan Solo. Berikut kesaksian warga yang menjadi korban banjir luapan Bengawan Solo.
50,"Waduk Tunggu Pampang Makassar Meluap, Motor Nekat Terobos Banjir Mogok","Waduk Tunggu Pampang, Kota Makassar, Sulawesi Selatan (Sulsel) meluap hingga air meluber ke jalan. Sejumlah sepeda motor mogok lantaran nekat menerobos banjir."
51,"Contoh Soal PAS IPS Kelas 8 Semester 1 Plus Jawaban-Pembahasan, Pelajari Yuk!",Berikut kumpulan contoh soal PAS IPS kelas 8 semester 1 beserta jawaban dan pembahasan. Yuk berlatih!
52,"Viral Bikin Haru, Kisah Anak Beli Mobil 'Ambulance' untuk Ayahnya yang Sakit",Viral bikin haru kisah seorang anak yang membelikan mobil 'ambulance' untuk bapaknya yang sedang sakit kanker. Berikut cerita lengkapnya.
53,Penampakan Banjir Rendam 15 Kelurahan di Solo,"Hujan deras yang mengguyur kota Solo menyebabkan sejumlah kali meluap. Akibatnya, 15 kelurahan terendam banjir dan ribuan warga harus mengungsi."
54,7 SD di Solo Jadi Tempat Pengungsian Korban Banjir,Sejumlah Sekolah Dasar (SD) di Kota Solo digunakan untuk tempat mengungsi korban Banjir. Sedikitnya ada tujuh SD yang digunakan untuk mengungsi warga.
55,195 Hektare Tanaman Padi di Ngawi Gagal Penan Akibat Terendam Banjir,"Sungai Madiun-Bengawan Solo yang melintasi Kabupaten Ngawi meluap membanjiri 18 desa di 7 kecamatan. Dampaknya,sawah seluas sekitar 195 hektare gagal panen."
56,"Bangunan SMP Negeri di Kupang Mirip Gubuk, Guru-Siswa Sering Kehujanan",Bangunan SMP Negeri di Kupang mirip gubuk. Para guru dan siswa sering kehujanan dan kebanjiran.
57,Taman Sunan Jogo Kali Milik FX Rudy Ditutup Usai Banjir Luapan Bengawan Solo,Taman Sunan Jogo Kali milik mantan Wali Kota Solo FX Hadi Rudyatmo tak luput terkena imbas meluapnya Bengawan solo. Begini kondisinya terkini.
58,Warga Jebres Ungkap Detik-detik Meluapnya Bengawan Solo,Sebagian wilayah Kota Solo tergenang banjir luapan Bengawan Solo. Berikut kesaksian warga yang menjadi korban banjir luapan Bengawan Solo.
